"","PTS","AST","STL","BLK","REB","TOV"
"1",133,46,7,0,32,14
"12",443,47,21,51,315,69
"13",412,59,70,62,342,55
"14",168,39,19,15,73,15
"15",241,25,35,7,94,33
"16",680,45,29,38,329,78
"19",3,1,0,0,2,1
"20",1130,55,73,153,1104,120
"22",355,284,32,6,153,104
"24",430,46,2,27,127,42
"25",3,1,1,0,8,1
"26",422,180,39,113,543,106
"27",194,22,6,12,82,24
"28",1387,170,86,50,374,177
"29",298,48,27,16,216,36
"31",790,60,54,11,195,38
"33",231,44,18,9,74,48
"35",461,35,16,22,318,65
"36",1035,129,41,7,247,116
"37",129,17,12,5,75,23
"39",1071,135,82,15,241,109
"40",349,50,14,1,63,55
"41",996,140,77,19,241,138
"42",605,220,46,8,143,89
"43",44,4,2,15,39,6
"44",304,16,18,99,407,52
"45",1469,354,63,35,508,152
"48",962,194,76,18,241,123
"49",544,41,50,94,321,34
"50",866,104,41,32,398,83
"51",142,30,18,7,83,29
"53",1070,330,90,10,244,189
"60",570,208,57,9,163,100
"61",10,1,2,1,8,3
"62",503,26,15,17,268,54
"64",966,122,40,17,264,89
"65",460,79,43,4,196,49
"70",457,64,44,10,198,49
"72",928,95,41,25,310,95
"73",309,51,11,11,111,59
"75",166,15,26,7,55,15
"77",1564,838,156,15,376,190
"78",50,20,10,4,51,8
"79",424,64,43,8,91,48
"80",942,75,60,26,214,73
"84",472,100,34,49,362,62
"85",338,75,37,65,338,59
"86",917,173,114,19,297,131
"89",777,151,75,12,178,78
"92",1720,507,97,21,378,222
"93",323,53,16,5,47,47
"98",393,198,41,14,131,118
"102",725,252,67,14,143,112
"103",388,85,31,26,257,49
"104",8,9,2,0,2,4
"105",0,1,0,0,2,0
"107",946,61,81,183,1226,109
"108",56,3,7,1,56,13
"110",1421,210,90,103,747,254
"111",883,118,94,17,372,75
"113",884,448,64,17,237,154
"116",617,50,34,4,202,56
"117",665,237,78,14,135,85
"118",37,17,9,2,31,9
"121",1333,143,39,33,457,82
"122",391,190,23,0,143,65
"124",219,41,20,11,111,18
"126",921,291,123,99,647,133
"127",277,49,21,9,223,28
"129",52,14,3,0,12,12
"130",646,50,28,53,431,115
"132",1331,299,73,21,219,209
"133",32,5,4,2,28,5
"135",656,94,49,98,600,58
"138",248,58,56,16,150,67
"140",96,22,17,25,100,18
"141",1163,55,36,29,671,145
"143",818,229,50,14,159,122
"145",669,56,36,19,277,45
"148",779,449,83,19,417,198
"149",201,9,7,42,155,32
"152",6,13,2,0,1,2
"153",204,56,42,9,90,34
"160",1030,207,73,85,542,173
"163",11,2,0,0,4,2
"165",1275,350,78,15,274,173
"167",710,146,71,126,609,126
"168",16,3,2,2,9,3
"170",80,9,7,11,79,11
"172",775,302,46,10,216,119
"174",564,6,27,123,482,58
"176",586,79,39,30,359,99
"181",496,135,81,16,224,91
"185",580,263,33,1,134,70
"187",308,42,31,5,138,47
"193",523,253,47,6,146,109
"194",312,48,25,17,176,39
"198",62,2,5,9,37,6
"202",35,10,3,0,9,7
"204",770,134,44,42,441,78
"206",957,373,75,13,245,191
"207",203,19,18,44,203,29
"212",106,3,2,20,61,18
"213",60,15,4,9,77,9
"214",137,14,8,8,117,26
"217",98,11,4,18,64,12
"218",127,22,12,1,53,19
"219",411,79,40,68,198,85
"221",90,13,11,12,71,5
"224",138,13,8,15,105,22
"225",0,0,0,0,3,1
"229",552,57,36,35,452,96
"230",1277,137,39,8,167,95
"231",485,312,48,74,646,123
"233",136,26,7,2,41,27
"234",396,182,72,10,175,98
"237",169,16,9,23,191,23
"239",93,13,8,10,77,22
"241",135,13,10,0,39,8
"242",98,60,8,0,16,16
"246",286,46,17,9,207,35
"247",448,71,46,18,282,44
"248",963,39,33,95,693,109
"249",94,16,16,7,28,14
"252",38,7,2,0,16,4
"254",53,22,6,0,25,12
"255",382,198,31,0,124,75
"263",426,50,52,68,382,86
"265",1057,161,148,48,461,97
"266",656,109,64,39,303,98
"270",946,89,62,57,668,118
"271",390,78,52,33,222,73
"272",1043,109,93,18,255,94
"273",20,5,5,6,19,3
"277",779,89,33,1,142,76
"279",1055,182,122,11,347,113
"280",377,148,46,14,121,73
"282",1668,222,87,60,247,149
"284",419,37,29,63,426,69
"285",182,85,29,13,118,55
"286",509,57,34,25,416,46
"287",74,28,15,7,72,10
"289",1244,473,109,13,328,173
"290",294,59,31,39,199,55
"293",1661,124,48,68,726,122
"294",501,240,38,8,277,128
"295",443,69,37,8,195,74
"296",46,15,11,0,26,8
"297",533,150,52,12,190,61
"298",46,45,6,0,15,25
"299",196,23,26,39,166,28
"300",315,73,15,42,323,40
"303",18,5,6,1,8,3
"304",122,90,28,6,70,30
"305",259,70,22,52,268,62
"306",1242,164,88,10,151,101
"307",660,106,81,21,328,99
"316",1001,97,49,110,717,100
"318",845,133,63,16,385,73
"322",216,39,31,12,107,27
"323",1258,192,101,39,506,170
"324",791,72,20,34,325,82
"326",577,100,69,36,386,60
"327",717,74,65,63,512,106
"328",764,114,67,50,302,87
"329",264,47,10,12,115,11
"330",319,204,24,2,126,61
"331",158,25,32,9,106,27
"332",327,32,10,14,250,39
"334",966,442,111,30,353,253
"339",197,25,16,19,119,21
"340",529,75,25,3,199,39
"343",339,46,14,16,194,53
"345",964,424,46,14,174,172
"346",1513,329,148,25,190,198
"349",27,3,4,5,38,7
"357",319,67,20,17,88,40
"359",386,27,19,12,234,42
"360",1428,147,54,54,810,148
"362",573,255,57,15,159,99
"366",593,102,31,9,260,88
"368",274,171,79,1,119,62
"370",6,0,1,0,6,1
"371",648,155,60,44,433,54
